_id,correlation
1066000,"{'CNAE_PRINCIPAL': 1066000, 'CNAE_SECUNDARIA': '4692300,4744001,4930202,8299799', 'count': 1}"
7739099,"{'CNAE_PRINCIPAL': 7739099, 'CNAE_SECUNDARIA': '2542000,7732202', 'count': 1}"
4755502,"{'CNAE_PRINCIPAL': 4755502, 'CNAE_SECUNDARIA': '1092900,4763601,4759801,4781400,4789099,4782201,4755503,4753900,3212400,4713002,1093701,4729699,1091102,4772500', 'count': 1}"
4755502,"{'CNAE_PRINCIPAL': 4755502, 'CNAE_SECUNDARIA': '4763601,4781400,4755501,4789099,4713002', 'count': 1}"
4755502,"{'CNAE_PRINCIPAL': 4755502, 'CNAE_SECUNDARIA': '4755503,4781400,4772500', 'count': 1}"
4755502,"{'CNAE_PRINCIPAL': 4755502, 'CNAE_SECUNDARIA': '4742300,4744003,4713002,4744001', 'count': 1}"
4755502,"{'CNAE_PRINCIPAL': 4755502, 'count': 3}"
4755502,"{'CNAE_PRINCIPAL': 4755502, 'CNAE_SECUNDARIA': '4763601,4713002,4763604', 'count': 1}"
8599603,"{'CNAE_PRINCIPAL': 8599603, 'CNAE_SECUNDARIA': '9511800,6190699', 'count': 1}"
4782201,"{'CNAE_PRINCIPAL': 4782201, 'CNAE_SECUNDARIA': 4781400, 'count': 2}"
4782201,"{'CNAE_PRINCIPAL': 4782201, 'CNAE_SECUNDARIA': '4781400,4782202,4761003', 'count': 1}"
4782201,"{'CNAE_PRINCIPAL': 4782201, 'CNAE_SECUNDARIA': '4755503,4781400', 'count': 1}"
4782201,"{'CNAE_PRINCIPAL': 4782201, 'count': 3}"
4782201,"{'CNAE_PRINCIPAL': 4782201, 'CNAE_SECUNDARIA': '4755502,4759899,4763601,4781400,4789001,4789099', 'count': 1}"
4754702,"{'CNAE_PRINCIPAL': 4754702, 'CNAE_SECUNDARIA': 7319002, 'count': 1}"
4754702,"{'CNAE_PRINCIPAL': 4754702, 'CNAE_SECUNDARIA': 4754701, 'count': 1}"
